历史文献名称,文献别称,历史文献发表时间,文献类型,党史人物,思想理念
《中国共产党对于时局的主张》发表,,1922年6月15日,其他文献,,
《中国社会各阶级的分析》发表,,1925年12月1日,领导人文献,毛泽东,
《湖南农民运动考察报告》发表,,1927年3月,领导人文献,毛泽东,
《调查工作》,《反对本本主义》,1930年5月,领导人文献,毛泽东,“没有调查，没有发言权”
《新的革命高潮与一省或几省首先胜利》决议,,1930年6月11日,其他文献,,形成系统的“左”倾冒险主张
《实践论》,,1937年7月,领导人文献,毛泽东,
《矛盾论》,《矛盾统一法则》,1937年8月,领导人文献,毛泽东,
《中共中央为公布国共合作宣言》发表,,1937年9月22日,其他文献,,
《关于大量发展党员的决议》,,1938年3月15日,其他文献,,
《论持久战》,,1938年5月26日-1938年6月3日,领导人文献,毛泽东,党的抗日持久战战略总方针
《中共中央为抗战两周年纪念对时局宣言》发表,,1939年7月7日,其他文献,,坚持抗战、反对投降，坚持团结、反对分裂，坚持进步、反对倒退
《〈共产党人〉发刊词》发表,,1939年10月4日,领导人文献,毛泽东,
《新民主主义论》发表,,1940年1月,领导人文献,毛泽东,
《关于回回民族问题的提纲》,,1940年4月,其他文献,,
《关于抗战中蒙古民族问题提纲》,,1940年7月,其他文献,,
《陕甘宁边区施政纲领》发表,,1941年5月1日,其他文献,,
26国签署《联合国家宣言》,,1942年1月1日,其他文献,,国际反法西斯统一战线
《关于统一抗日根据地党的领导及调整各组织间关系的决定》,,1942年9月1日,其他文献,,
《关于拥护军队的决定》,,1943年1月15日,其他文献,,
《关于拥护政府爱护人民的决定》,,1943年1月25日,其他文献,,
《关于中央机构调整及精简的决定》,,1943年3月20日,其他文献,毛泽东、刘少奇、任弼时,
《对日寇的最后一战》,,1945年8月9日,领导人文献,毛泽东,
《终战诏书》,,1945年8月15日,其他文献,天皇裕仁,
国共双方签署《政府与中共代表会谈纪要》,双十协定,1945年10月10日,其他文献,毛泽东、周恩来、王若飞,
《关于扩兵与编组野战军的指示》,,1945年9月21日,其他文献,,
《关于土地问题的指示》,五四指示,1946年5月4日,其他文献,,“耕者有其田”政策
《以自卫战争粉碎蒋介石的进攻》发表,,1946年7月20日,其他文献,,
《中国土地法大纲》发布,,1947年10月10日,其他文献,,
《目前形势和我们的任务》,,1947年12月25日－1947年12月29日,领导人文献,毛泽东,最基本的政治纲领、新民主主义革命的三大经济纲领、十大军事原则
《关于统一全军组织及部队番号的规定》,,1948年11月1日,其他文献,,
《向全国进军的命令》,,1949年4月21日,其他文献,毛泽东、朱德,
《论人民民主专政》,,1949年6月30日,领导人文献,,
《丢掉幻想，准备斗争》等五篇评论发表,,1949年8月14日－1949年9月16日,领导人文献,毛泽东,
《关于在中央人民政府内组织中国共产党党委会的决定》,,1949年11月9日,其他文献,,
《关于在中央人民政府内建立中国共产党党组的决定》,,1949年11月9日,其他文献,,
《关于严禁鸦片烟毒的通令》,,1950年2月24日,其他文献,,
《关于统一国家财政经济工作的决定》,,1950年3月3日,其他文献,,
《关于在全党全军开展整风运动的指示》,,1950年5月1日,其他文献,,
《中华人民共和国婚姻法》,,1950年5月1日,其他文献,,
《关于镇压反革命活动的指示》,,1950年10月10日,其他文献,,
《关于治理淮河的决定》,,1950年10月14日,其他文献,,
《关于加强人民司法工作的指示》,,1950年11月3日,其他文献,,
《关于积极推进宗教革新运动的指示》,,1951年3月5日,其他文献,,
中央人民政府和西藏地方政府签订《关于和平解放西藏办法的协议》,“十七条协议”,1951年5月23日,其他文献,,
《关于知识分子的改造问题》报告,,1951年9月29日,领导人文献,,
《关于在学校中进行思想改造和组织清理工作的指示》,,1951年11月30日,领导人文献,,
《毛泽东选集》第一卷出版,,1951年10月,领导人文献,毛泽东,
《关于实行精兵简政、增产节约、反对贪污、反对浪费和反对官僚主义的决定》,,1951年12月1日,其他文献,,
《关于首先在大中城市开展“五反”斗争的指示》,,1952年1月26日,其他文献,,
《中华人民共和国惩治贪污条例》公布施行,,1952年4月21日,其他文献,,
《关于加强人民体育运动工作的报告》,,1954年1月8日,领导人文献,毛泽东,
《中华人民共和国民族区域自治实施纲要》公布施行,,1952年8月9日,其他文献,,
《中华人民共和国全国人民代表大会及地方各级人民代表大会选举法》公布施行,,1953年3月1日,其他文献,,
《为准备普选进行全国人口调查登记的指示》,,1953年4月3日,其他文献,,
中苏两国政府签订《关于苏维埃社会主义共和国联盟政府援助中华人民共和国中央人民政府发展中国国民经济的协定》,,1953年5月15日,其他文献,,
《为动员一切力量把我国建设成为一个伟大的社会主义国家而斗争――关于党在过渡时期总路线的学习和宣传提纲》,,1953年12月28日,其他文献,,
中共中央作出《关于实行粮食的计划收购与计划供应的决议》,,1953年10月16日,其他文献,,
作出《关于在全国实行计划收购油料的决定》,,1953年11月15日,其他文献,,
中共中央作出《关于加强干部管理工作的决定》,,1953年11月24日,其他文献,,
颁布新中国成立后第一部《中国人民解放军政治工作条例（草案）》,,1954年4月15日,其他文献,,
中央政治局作出《关于成立党的军事委员会的决议》,,1954年9月28日,其他文献,毛泽东、彭德怀,
作出《关于恢复新疆生产建设兵团的决定》,,1981年12月3日,其他文献,,
《中华人民共和国兵役法》,,1955年7月30日,全国人大文献,,
《列宁全集》中文第一版第一卷出版,,1955年12月,领导人文献,,
中央政治局提出《1956年到1967年全国农业发展纲要（草案）》,,1956年1月23日,其他文献,,
中共中央发出《关于文字改革工作问题的指示》,,1956年1月27日,其他文献,,
《国务院关于公布汉字简化方案的决议》,,1956年1月28日,其他文献,,
《国务院关于推广普通话的指示》,,1956年1月28日,其他文献,,
《汉语拼音方案（草案）》,,1956年2月9日,其他文献,,
《论十大关系》报告,,1956年4月25日,领导人文献,毛泽东,“长期共存，互相监督”的方针
《马克思恩格斯全集》中文第一版第一卷出版,,1956年12月,领导人文献,,
《如何处理人民内部的矛盾》,,1957年2月27日,领导人文献,毛泽东,
《关于消灭血吸虫病的指示》,,1957年4月20日,其他文献,,
《关于整风运动的指示》,,1957年4月27日,其他文献,,
《关于在全国大规模造林的指示》,,1958年4月7日,其他文献,,
《关于解散西藏地方政府的命令》,,1959年3月28日,其他文献,,
《中华人民共和国主席特赦令》,,1959年9月17日,其他文献,刘少奇,
《关于军委组成人员的通知》,,1959年9月26日,其他文献,,
《关于传达石油工业部〈关于大庆石油会战情况的报告〉的通知》,,1964年2月5日,领导人文献,,
中缅两国签订《中华人民共和国政府和缅甸联邦政府关于两国边界问题的协定》,,1960年1月28日,其他文献,,
中缅两国签订《中华人民共和国和缅甸联邦之间的友好和互不侵犯条约》,,1960年1月28日,其他文献,,
中缅两国签订《中华人民共和国和缅甸联邦边界条约》,,1960年10月1日,其他文献,,
《关于工业战线上的技术革新和技术革命运动开展情况的报告》,,1960年3月22日,领导人文献,,
《关于农村人民公社当前政策问题的紧急指示信》,,1960年11月3日,其他文献,,
《关于调整农村劳动力和精简下放职工问题的报告》,,1961年4月9日,领导人文献,,
《关于改变农村人民公社基本核算单位问题的指示》,,1962年2月13日,其他文献,,
《论知识分子问题》,,1962年3月2日,领导人文献,周恩来,
《关于成立十五人专门委员会的决定》,,1962年12月14日,其他文献,周恩来,
《关于国际共产主义运动总路线的建议》,,1963年6月14日,其他文献,,
《关于国际共产主义运动总路线的论战》的九篇文章,“九评”,1963年9月6日至1964年7月14日,其他文献,,
《关于把卫生工作重点放到农村的报告》,,1965年9月21日,领导人文献,,
《县委书记的榜样――焦裕禄》,,1966年2月7日,其他文献,,
《中国共产党中央委员会关于无产阶级文化大革命的决定》,,1966年8月8日,其他文献,,
《关于集中力量执行支左、支农、支工、军管、军训任务的决定》,,1967年3月19日,其他文献,,
《联合公报》发表,,1972年2月28日,其他文献,,
《联合声明》发表,,1972年9月29日,其他文献,,
《关于召开全国科学大会的通知》,,1977年9月18日,其他文献,,
《关于1977年高等学校招生工作的意见》,,1977年10月5日,其他文献,,
《关于全部摘掉右派分子帽子的请示报告》,,1978年4月5日,领导人文献,,
《贯彻中央关于全部摘掉右派分子帽子决定的实施方案》,,1978年9月17日,其他文献,,
《实践是检验真理的唯一标准》,,1978年5月10日,其他文献,,
《解放思想，实事求是，团结一致向前看》讲话,,1978年12月13日,领导人文献,邓小平,
《告台湾同胞书》,,1979年1月1日,全国人大文献,,
《坚持四项基本原则》讲话,,1979年3月30日,领导人文献,,
《广东、福建两省会议纪要》,,1980年5月16日,其他文献,,
《目前的形势和任务》讲话,,1980年1月16日,领导人文献,邓小平,
《党和国家领导制度的改革》讲话,,1980年8月18日,领导人文献,邓小平,
《关于扩大企业自主权试点工作情况和今后意见的报告》,,1980年9月2日,领导人文献,,
《关于控制我国人口增长问题致全体共产党员、共青团员的公开信》,,1980年9月25日,其他文献,,
《关于广开门路，搞活经济，解决城镇就业问题的若干决定》,,1981年10月17日,其他文献,,
《全国农村工作会议纪要》,,1982年1月1日,其他文献,,
《关于建立老干部退休制度的决定》,,1982年2月20日,其他文献,,
《关于我国社会主义时期宗教问题的基本观点和基本政策》,,1982年3月31日,其他文献,,
《关于打击经济领域中严重犯罪活动的决定》,,1982年4月13日,其他文献,,
《中华人民共和国和美利坚合众国联合公报》,八一七公报,1982年8月17日,其他文献,,
《关于中央党政机关干部教育工作的决定》,,1982年10月3日,其他文献,,
《关于实现党校教育正规化的决定》,,1983年4月18日,其他文献,,
《关于国营企业利改税试行办法》,,1983年4月24日,其他文献,,
《关于严厉打击刑事犯罪活动的决定》,,1983年8月25日,其他文献,,
《关于实行政社分开建立乡政府的通知》,,1983年10月12日,其他文献,,
《关于开创社队企业新局面的报告》,,1984年3月1日,领导人文献,,
《沿海部分城市座谈会纪要》,,1984年5月4日,其他文献,,
《列宁全集》中文第二版分卷出版,,1984年10月,领导人文献,,
《关于严禁党政机关和党政干部经商、办企业的决定》,,1984年12月3日,其他文献,,
中英两国政府签署《中华人民共和国政府和大不列颠及北爱尔兰联合王国政府关于香港问题的联合声明》,,1984年12月19日,其他文献,,
《关于进一步活跃农村经济的十项政策》,,1985年1月1日,其他文献,,
《长江、珠江三角洲和闽南厦漳泉三角地区座谈会纪要》,,1985年2月18日,其他文献,,
《关于扩大沿海经济开放区范围的通知》,,1988年3月18日,其他文献,,
《关于科学技术体制改革的决定》,,1985年3月13日,其他文献,,
《关于教育体制改革的决定》,,1985年5月27日,其他文献,,
《高技术研究发展计划纲要》,,1986年11月18日,其他文献,,
《中国共产党全民所有制工业企业基层组织工作条例》,,1986年9月15日,其他文献,,
《关于深化企业改革增强企业活力的若干规定》,,1986年12月5日,其他文献,,
《关于当前反对资产阶级自由化若干问题的通知》,,1987年1月28日,其他文献,,
中葡两国政府签署《中华人民共和国政府和葡萄牙共和国政府关于澳门问题的联合声明》,,1987年4月13日,其他文献,,
《关于民族工作几个重要问题的报告》,,1987年4月17日,领导人文献,,
《关于在全国城镇分期分批推行住房制度改革的实施方案》,,1988年2月25日,其他文献,,
《关于深化城镇住房制度改革的决定》,,1994年7月18日,其他文献,,
《关于进一步深化城镇住房制度改革加快住房建设的通知》,,1998年7月3日,其他文献,,
《关于党和国家机关必须保持廉洁的通知》,,1988年6月1日,其他文献,,
《关于加强和改善党对工会、共青团、妇联工作领导的通知》,,1989年12月21日,其他文献,,
《关于坚持和完善中国共产党领导的多党合作和政治协商制度的意见》,,1989年12月30日,其他文献,,“长期共存、互相监督、肝胆相照、荣辱与共”
《关于县以上党和国家机关党员领导干部民主生活会的若干规定》,,1990年5月25日,其他文献,,
《关于实行党和国家机关领导干部交流制度的决定》,,1990年7月7日,其他文献,,
《关于加强党风和廉政建设的意见》,,1990年11月4日,其他文献,,
《关于批准国家高新技术产业开发区和有关政策规定的通知》,,1991年3月6日,其他文献,,
《关于企业职工养老保险制度改革的决定》,,1991年6月26日,其他文献,,
《关于建立统一的企业职工基本养老保险制度的决定》,,1997年7月16日,其他文献,,
《关于完善企业职工基本养老保险制度的决定》,,2005年12月3日,其他文献,,
《毛泽东选集》第一至第四卷第二版出版,,1991年6月,领导人文献,,
《中国共产党历史》上卷出版,,1991年7月,领导人文献,,
《中国共产党的七十年》出版,,1991年8月,领导人文献,,
《关于抓紧培养教育青年干部的决定》,,1991年9月6日,其他文献,,
《国家中长期科学技术发展纲领》,,1992年3月8日,其他文献,,
《中国教育改革和发展纲要》,,1993年2月13日,其他文献,,
海峡两岸关系协会会长汪道涵和台湾海峡交流基金会董事长辜振甫签订《汪辜会谈共同协议》等四项协议,,1993年4月27日－1993年4月29日,其他文献,,
《关于重点建设一批高等学校和重点学科点的若干意见》,,1993年7月15日,其他文献,,
《面向21世纪教育振兴行动计划》,,1999年1月,其他文献,,
《邓小平文选》第三卷出版,,1993年10月,领导人文献,,
《邓小平文选》第一卷、第二卷出版,,1994年10月,领导人文献,,
《关于当前农业和农村经济发展的若干政策措施》,,1993年11月5日,其他文献,,
《关于实行分税制财政管理体制的决定》,,1993年12月15日,其他文献,,
《关于金融体制改革的决定》,,1993年12月25日,其他文献,,
《关于进一步深化对外贸易体制改革的决定》,,1994年1月11日,其他文献,,
《爱国主义教育实施纲要》,,1994年8月23日,其他文献,,
《关于进一步加强和改进学校德育工作的若干意见》,,1994年8月31日,其他文献,,
《中国共产党党员权利保障条例（试行）》,,1995年1月7日,其他文献,,
《中国共产党党员权利保障条例》,,2004年9月22日,其他文献,,
《为促进祖国统一大业的完成而继续奋斗》讲话,,1995年1月30日,领导人文献,,
《党政领导干部选拔任用工作暂行条例》,,1995年2月9日,其他文献,,
《党政领导干部选拔任用工作条例》,,2002年7月9日,其他文献,,
《关于加速科学技术进步的决定》,,1995年5月6日,其他文献,,实施科教兴国战略
《马克思恩格斯全集》中文第二版开始分卷出版,,1995年6月,领导人文献,,
《中国共产党地方委员会工作条例（试行）》,,1996年4月5日,其他文献,,
《中国共产党地方委员会工作条例》,,2015年12月25日,其他文献,,
《关于卫生改革与发展的决定》,,1997年1月15日,其他文献,,
《中国共产党党员领导干部廉洁从政若干准则（试行）》,,1997年3月28日,其他文献,,
《中国共产党党员领导干部廉洁从政若干准则》,,2010年1月18日,其他文献,,
《关于党政机关厉行节约制止奢侈浪费行为的若干规定》,,1997年5月25日,其他文献,,
《关于深化金融改革，整顿金融秩序，防范金融风险的通知》,,1997年12月6日,其他文献,,
《关于在全国建立城市居民最低生活保障制度的通知》,,1997年9月2日,其他文献,,
《关于切实做好国有企业下岗职工基本生活保障和再就业工作的通知》,,1998年6月9日,其他文献,,
《关于在县级以上党政领导班子、领导干部中深入开展以“讲学习、讲政治、讲正气”为主要内容的党性党风教育的意见》,,1998年11月21日,其他文献,,
《关于实行党风廉政建设责任制的规定》,,1998年11月21日,其他文献,,
《关于建立城镇职工基本医疗保险制度的决定》,,1998年12月14日,其他文献,,
《中国共产党农村基层组织工作条例》,,1999年2月13日,其他文献,,
《关于深化教育改革全面推进素质教育的决定》,,1999年6月13日,其他文献,,
《关于实施西部大开发若干政策措施的通知》,,2000年10月26日,其他文献,,
《关于加强技术创新，发展高科技，实现产业化的决定》,,1999年8月20日,其他文献,,
《关于促进小城镇健康发展的若干意见》,,2000年6月13日,其他文献,,
《中国农村扶贫开发纲要（2001－2010年）》,,2001年6月13日,其他文献,,
《上海合作组织成立宣言》,,2001年6月15日,其他文献,,
《公民道德建设实施纲要》,,2001年9月20日,其他文献,,
《退耕还林条例》,,2002年12月14日,其他文献,,
《关于进一步做好下岗失业人员再就业工作的通知》,,2002年9月30日,其他文献,,
《关于进一步加强农村卫生工作的决定》,,2002年10月19日,其他文献,,
《关于做好农业和农村工作的意见》,,2003年1月16日,其他文献,,
《内地与香港关于建立更紧密经贸关系的安排》,,2003年6月29日,其他文献,,
《内地与澳门关于建立更紧密经贸关系的安排》,,2003年10月17日,其他文献,,
《关于实施东北地区等老工业基地振兴战略的若干意见》,,2003年10月5日,其他文献,,
《联合国反腐败公约》,,2003年12月10日,其他文献,,
《关于进一步加强人才工作的决定》,,2003年12月26日,其他文献,,
《关于进一步繁荣发展哲学社会科学的意见》,,2004年1月5日,其他文献,,
《关于进一步加强和改进未成年人思想道德建设的若干意见》,,2004年2月26日,其他文献,,
《关于进一步加强和改进大学生思想政治教育的意见》,,2004年8月26日,其他文献,,
《关于在全党开展以实践“三个代表”重要思想为主要内容的保持共产党员先进性教育活动的意见》,,2004年11月7日,其他文献,,
《建立健全教育、制度、监督并重的惩治和预防腐败体系实施纲要》,,2005年1月3日,其他文献,,
《关于进一步加强中国共产党领导的多党合作和政治协商制度建设的意见》,,2005年2月18日,其他文献,,
《关于鼓励支持和引导个体私营等非公有制经济发展的若干意见》,,2005年2月19日,其他文献,,
《国家突发公共事件总体应急预案》,,2005年4月17日,其他文献,,
《关于进一步加强民族工作加快少数民族和民族地区经济社会发展的决定》,,2005年5月31日,其他文献,,
《中国人民解放军文职人员条例》,,2005年6月23日,其他文献,,
《关于深化文化体制改革的若干意见》,,2005年12月23日,其他文献,,
《关于推进社会主义新农村建设的若干意见》,,2005年12月31日,其他文献,,
《关于实施科技规划纲要增强自主创新能力的决定》,,2006年1月26日,其他文献,,
《关于解决农民工问题的若干意见》,,2006年1月31日,其他文献,,
《关于进一步做好为农民工服务工作的意见》,,2014年9月12日,其他文献,,
《关于加强人民政协工作的意见》,,2006年2月8日,其他文献,,
《关于促进中部地区崛起的若干意见》,,2006年4月15日,其他文献,,
《江泽民文选》第一至第三卷出版,,2006年8月,领导人文献,,
《中国应对气候变化国家方案》,,2007年6月3日,其他文献,,
《关于开展城镇居民基本医疗保险试点的指导意见》,,2007年7月10日,其他文献,,
《关于在全国建立农村最低生活保障制度的通知》,,2007年7月11日,其他文献,,
《国家知识产权战略纲要》,,2008年6月5日,其他文献,,
《关于全面推进集体林权制度改革的意见》,,2008年6月8日,其他文献,,
《关于在全党开展深入学习实践科学发展观活动的意见》,,2008年9月14日,其他文献,,
《携手推动两岸关系和平发展，同心实现中华民族伟大复兴》讲话,,2008年12月31日,领导人文献,胡锦涛,
《关于深化医药卫生体制改革的意见》,,2009年3月17日,其他文献,,
《关于开展新型农村社会养老保险试点的指导意见》,,2009年9月1日,其他文献,,
《关于开展城镇居民社会养老保险试点的指导意见》,,2011年6月7日,其他文献,,
《关于推进海南国际旅游岛建设发展的若干意见》,,2009年12月31日,其他文献,,
《国家中长期人才发展规划纲要（2010－2020年）》,,2010年4月1日,其他文献,,
《关于在党的基层组织和党员中深入开展创先争优活动的意见》,,2010年4月5日,其他文献,,
《关于领导干部报告个人有关事项的规定》,,2010年5月26日,领导人文献,,
《关于加强和改进新形势下党史工作的意见》,,2010年6月19日,其他文献,,
海峡两岸关系协会与台湾海峡交流基金会签署《海峡两岸经济合作框架协议》,,2010年6月29日,其他文献,,
《国家中长期教育改革和发展规划纲要（2010－2020年）》,,2010年7月8日,其他文献,,
《关于加快培育和发展战略性新兴产业的决定》,,2010年10月10日,其他文献,,
《全国主体功能区规划》,,2010年12月21日,其他文献,,
《关于分类推进事业单位改革的指导意见》,,2011年3月23日,其他文献,,
《中国农村扶贫开发纲要（2011－2020年）》,,2011年5月27日,其他文献,,
《关于加强和创新社会管理的意见》,,2011年7月5日,其他文献,,
《关于在全党深入开展党的群众路线教育实践活动的意见》,,2013年5月9日,其他文献,,
《中国共产党巡视工作条例》,,2015年8月3日,其他文献,,
《关于加快棚户区改造工作的意见》,,2013年7月4日,其他文献,,
《中央党内法规制定工作五年规划纲要（2013－2017年）》,,2013年11月5日,其他文献,,
《中央党内法规制定工作第二个五年规划（2018－2022年）》,,2018年2月9日,其他文献,,
《党政机关厉行节约反对浪费条例》,,2013年11月18日,其他文献,,
《关于培育和践行社会主义核心价值观的意见》,,2013年12月11日,其他文献,,
《关于调整完善生育政策的意见》,,2013年12月21日,其他文献,,
《关于实施全面两孩政策改革完善计划生育服务管理的决定》,,2015年12月31日,其他文献,,
《关于优化生育政策促进人口长期均衡发展的决定》,,2021年5月31日,其他文献,,
《习近平关于实现中华民族伟大复兴的中国梦论述摘编》出版,,2013年12月,领导人文献,,
《关于全面深化农村改革加快推进农业现代化的若干意见》,,2014年1月2日,其他文献,,
修订后的《党政领导干部选拔任用工作条例》,,2014年1月14日,其他文献,,
《国家集成电路产业发展推进纲要》,,2014年1月21日,其他文献,,
《新时期促进集成电路产业和软件产业高质量发展的若干政策》,,2020年7月27日,其他文献,,
《注册资本登记制度改革方案》,,2014年2月7日,其他文献,,
《关于建立统一的城乡居民基本养老保险制度的意见》,,2014年2月21日,其他文献,,
《关于机关事业单位工作人员养老保险制度改革的决定》,,2015年1月3日,其他文献,,
《关于建立企业职工基本养老保险基金中央调剂制度的通知》,,2018年5月30日,其他文献,,
《京津冀协同发展规划纲要》,,2015年6月9日,其他文献,,
《关于深化司法体制和社会体制改革的意见》,,2014年3月19日,其他文献,,
《关于贯彻落实军委主席负责制建立和完善相关工作机制的意见》,,2014年4月10日,其他文献,,
《关于全面深入贯彻军委主席负责制的意见》,,2017年11月2日,其他文献,,
修订后的《中华人民共和国环境保护法》,,2014年4月24日,其他文献,,
《政府督查工作条例》,,2020年12月,其他文献,,
《深化财税体制改革总体方案》,,2014年6月30日,其他文献,,
《关于进一步推进户籍制度改革的意见》,,2014年7月24日,其他文献,,
《关于加强和改进新形势下民族工作的意见》,,2014年10月12日,其他文献,,
《习近平谈治国理政》,,2014年9月,其他文献,,
《关于繁荣发展社会主义文艺的意见》,,2015年10月3日,其他文献,,
《关于新形势下军队政治工作若干问题的决定》,,2014年12月30日,其他文献,,
《关于引导农村土地经营权有序流转发展农业适度规模经营的意见》,,2014年11月6日,其他文献,,
《关于完善农村土地所有权承包权经营权分置办法的意见》,,2016年10月22日,其他文献,,
《丝绸之路经济带和21世纪海上丝绸之路建设战略规划》,,2014年12月2日,其他文献,,
《推动共建丝绸之路经济带和21世纪海上丝绸之路的愿景与行动》,,2015年3月28日,其他文献,,
《关于加强中央纪委派驻机构建设的意见》,,2014年12月31日,其他文献,,
