历史文献名称,文献别称,历史文献发表时间,文献类型,党史人物,思想理念
《关于全面落实中央纪委向中央一级党和国家机关派驻纪检机构的方案》,,2015年11月20日,其他文献,,
《关于深化中央纪委国家监委派驻机构改革的意见》,,2018年10月21日,其他文献,,
《关于农村土地征收、集体经营性建设用地入市、宅基地制度改革试点工作的意见》,,2014年12月31日,其他文献,,
《关于加强社会主义协商民主建设的意见》,,2015年1月5日,其他文献,,
《关于促进云计算创新发展培育信息产业新业态的意见》,,2015年1月6日,其他文献,,
《促进大数据发展行动纲要》,,2015年8月31日,其他文献,,
《军民融合发展战略纲要》,,2018年8月11日,其他文献,,
《关于深化体制机制改革加快实施创新驱动发展战略的若干意见》,,2015年3月13日,其他文献,,
《国家创新驱动发展战略纲要》,,2016年1月18日,其他文献,,
《关于在县处级以上领导干部中开展“三严三实”专题教育方案》,,2015年4月10日,其他文献,,
《中国共产党统一战线工作条例（试行）》,,2015年5月18日,其他文献,,
《中国共产党党组工作条例（试行）》,,2015年6月11日,其他文献,,
《关于大力推进大众创业万众创新若干政策措施的意见》,,2015年6月11日,其他文献,,
《关于积极推进“互联网+”行动的指导意见》,,2015年7月1日,其他文献,,
《关于加强和改进党的群团工作的意见》,,2015年1月8日,其他文献,,
《全国海洋主体功能区规划》,,2015年8月1日,其他文献,,
《关于深化国有企业改革的指导意见》,,2015年8月24日,其他文献,,
《环境保护督察方案（试行）》,,2015年8月30日,其他文献,,
《中央生态环境保护督察工作规定》施行,,2019年6月6日,其他文献,,
《关于推进价格机制改革的若干意见》,,2015年10月12日,其他文献,,
《中国共产党廉洁自律准则》,,2015年10月18日,其他文献,,
《中国共产党纪律处分条例》,,2015年10月18日,其他文献,,
修订后的《中国共产党纪律处分条例》,,2018年8月18日,其他文献,,
《统筹推进世界一流大学和一流学科建设总体方案》,,2015年10月24日,其他文献,,
《领导指挥体制改革实施方案》,,2015年11月23日,其他文献,,
《关于进一步完善城乡义务教育经费保障机制的通知》,,2015年11月25日,其他文献,,
签署《〈内地与香港关于建立更紧密经贸关系的安排〉服务贸易协议》,,2015年11月27日,其他文献,,
签署《〈内地与澳门关于建立更紧密经贸关系的安排〉服务贸易协议》,,2015年11月28日,其他文献,,
《关于打赢脱贫攻坚战的决定》,,2015年11月29日,其他文献,,
《关于加快实施自由贸易区战略的若干意见》,,2015年12月6日,其他文献,,
《中国三江源国家公园体制试点方案》,,2015年12月9日,其他文献,,
《关于加强和改进新形势下党校工作的意见》,,2015年12月9日,其他文献,,
《关于深入推进城市执法体制改革改进城市管理工作的指导意见》,,2015年12月24日,其他文献,,
《关于进一步加强城市规划建设管理工作的若干意见》,,2016年2月6日,其他文献,,
《关于建立健全党和国家功勋荣誉表彰制度的意见》,,2015年12月25日,其他文献,,
《关于整合城乡居民基本医疗保险制度的意见》,,2016年1月3日,其他文献,,
《长江经济带发展规划纲要》,,2016年5月30日,其他文献,,
《关于全面振兴东北地区等老工业基地的若干意见》,,2016年2月6日,其他文献,,
《关于军队和武警部队全面停止有偿服务活动的通知》,,2016年2月16日,其他文献,,
《关于在全体党员中开展“学党章党规、学系列讲话，做合格党员”学习教育方案》,,2016年2月24日,领导人文献,,
《关于推进“两学一做”学习教育常态化制度化的意见》,,2017年3月20日,其他文献,,
中国签署气候变化《巴黎协定》,,2016年4月22日,其他文献,,
《关于加快构建中国特色哲学社会科学的意见》,,2017年3月5日,其他文献,,
《关于深化投融资体制改革的意见》,,2016年7月5日,其他文献,,
《中国共产党问责条例》,,2016年7月8日,其他文献,,
《中华人民共和国政府关于在南海的领土主权和海洋权益的声明》,,2016年7月12日,其他文献,,
《“健康中国2030”规划纲要》,,2016年10月17日,其他文献,,
《关于加快推进“互联网+政务服务”工作的指导意见》,,2016年9月25日,其他文献,,
《关于加快推进全国一体化在线政务服务平台建设的指导意见》,,2018年7月,其他文献,,
《关于在线政务服务的若干规定》,,2019年4月,其他文献,,
《胡锦涛文选》第一至第三卷出版,,2016年9月,领导人文献,,
《关于完善产权保护制度依法保护产权的意见》,,2016年11月4日,其他文献,,
《关于全面推行河长制的意见》,,2016年11月28日,其他文献,,
《关于在湖泊实施湖长制的指导意见》,,2017年12月26日,其他文献,,
《关于全面推行林长制的意见》,,2020年12月28日,其他文献,,
《关于加强党内法规制度建设的意见》,,2016年12月13日,其他文献,,
《关于稳步推进农村集体产权制度改革的意见》,,2016年12月26日,其他文献,,
《关于实施中华优秀传统文化传承发展工程的意见》,,2017年1月24日,其他文献,,
《深化粤港澳合作推进大湾区建设框架协议》签署仪式,,2017年7月1日,其他文献,,
《粤港澳大湾区发展规划纲要》,,2018年7月12日,其他文献,,
《新一代人工智能发展规划》,,2017年7月8日,其他文献,,
《中共中央政治局关于加强和维护党中央集中统一领导的若干规定》,,2017年10月27日,其他文献,,
《关于废止〈中华人民共和国营业税暂行条例〉和修改〈中华人民共和国增值税暂行条例〉的决定》,,2017年11月19日,其他文献,,
《关于调整中国人民武装警察部队领导指挥体制的决定》,,2017年12月14日,其他文献,,
《关于建立国务院向全国人大常委会报告国有资产管理情况制度的意见》,,2017年12月30日,其他文献,,
《关于实施乡村振兴战略的意见》,,2018年1月2日,其他文献,,
《乡村振兴战略规划（2018－2022年）》,,2018年6月26日,其他文献,,
《关于开展扫黑除恶专项斗争的通知》,,2018年1月11日,其他文献,,
《关于中美经贸摩擦的事实与中方立场》白皮书发布,,2018年9月24日,其他文献,,
中美双方签署《第一阶段经贸协议》,,2020年1月15日,其他文献,,
《关于支持海南全面深化改革开放的指导意见》,,2018年4月11日,其他文献,,
《海南自由贸易港建设总体方案》,,2020年3月20日,其他文献,,
《关于打赢脱贫攻坚战三年行动的指导意见》,,2018年6月15日,其他文献,,
《关于做好证明事项清理工作的通知》,,2018年6月15日,其他文献,,
《关于全面加强生态环境保护坚决打好污染防治攻坚战的意见》,,2018年6月16日,其他文献,,
《中国共产党宣传工作条例》,,2019年6月29日,其他文献,,
《中国教育现代化2035》,,2018年12月8日,其他文献,,
《关于在全国推开“证照分离”改革的通知》,,2018年9月27日,其他文献,,
《关于深化“证照分离”改革进一步激发市场主体发展活力的通知》,,2021年5月,其他文献,,
《关于保持土地承包关系稳定并长久不变的意见》,,2018年10月1日,其他文献,,
《中国共产党支部工作条例（试行）》,,2018年10月28日,其他文献,,
《为实现民族伟大复兴、推进祖国和平统一而共同奋斗》讲话,,2019年1月2日,领导人文献,,
《中国共产党政法工作条例》,,2019年1月13日,其他文献,,
《关于在市场监管领域全面推行部门联合“双随机、一公开”监管的意见》,,2019年1月27日,其他文献,,
《关于加强和规范事中事后监管的指导意见》,,2019年9月6日,其他文献,,
《关于加强党的政治建设的意见》,,2019年1月31日,其他文献,,
《中国共产党重大事项请示报告条例》,,2019年1月31日,其他文献,,
《中华人民共和国外商投资法实施条例》,,2019年12月26日,其他文献,,
《公务员职务与职级并行规定》,,2019年3月19日,其他文献,,
《关于新时代推进西部大开发形成新格局的指导意见》,,2019年5月2日,其他文献,,
《关于建立国土空间规划体系并监督实施的若干意见》,,2019年5月9日,其他文献,,
《关于在全党开展“不忘初心、牢记使命”主题教育的意见》,,2019年5月21日,其他文献,,
《长江三角洲区域一体化发展规划纲要》,,2019年5月30日,其他文献,,
《习近平新时代中国特色社会主义思想学习纲要》,,2019年6月4日,其他文献,,
《关于支持深圳建设中国特色社会主义先行示范区的意见》,,2019年8月9日,其他文献,,
《中国共产党农村工作条例》,,2019年8月19日,其他文献,,
《黄河流域生态保护和高质量发展规划纲要》,,2020年10月5日,其他文献,,
《关于新时代加强和改进人民政协工作的意见》,,2019年10月7日,其他文献,,
《新时代公民道德建设实施纲要》,,2019年10月17日,其他文献,,
《新时代爱国主义教育实施纲要》,,2019年10月31日,其他文献,,
《优化营商环境条例》,,2019年10月22日,其他文献,,
《保障农民工工资支付条例》,,2019年12月30日,其他文献,,
《携手抗疫，共克时艰》讲话,,2020年3月26日,领导人文献,,
《团结合作战胜疫情，共同构建人类卫生健康共同体》致辞,,2020年5月18日,领导人文献,,
《团结抗疫，共克时艰》主旨讲话,,2020年6月17日,领导人文献,,
《关于构建更加完善的要素市场化配置体制机制的意见》,,2020年3月30日,其他文献,,
《关于持续解决困扰基层的形式主义问题为决胜全面建成小康社会提供坚强作风保证的通知》,,2020年4月13日,其他文献,,
《关于新时代加快完善社会主义市场经济体制的意见》,,2020年5月11日,其他文献,,
《关于加快推进政务服务“跨省通办”的指导意见》,,2020年9月24日,其他文献,,
《中国共产党中央委员会工作条例》,,2020年9月30日,其他文献,,
中国与东盟十国及日本、韩国、澳大利亚、新西兰共同签署《区域全面经济伙伴关系协定》,,2020年11月15日,其他文献,,
《法治中国建设规划（2020－2025年）》,,2020年12月1日,其他文献,,
《关于实现巩固拓展脱贫攻坚成果同乡村振兴有效衔接的意见》,,2020年12月16日,其他文献,,
修订后的《中国共产党党员权利保障条例》,,2020年12月25日,其他文献,,
《关于全面推进乡村振兴加快农业农村现代化的意见》,,2021年1月4日,其他文献,,
《关于推动药品集中带量采购工作常态化制度化开展的意见》,,2021年1月22日,其他文献,,
《关于加快建立健全绿色低碳循环发展经济体系的指导意见》,,2021年2月2日,其他文献,,
《关于加强对“一把手”和领导班子监督的意见》,,2021年3月27日,其他文献,,
《中华人民共和国市场主体登记管理条例》,,2021年4月14日,其他文献,,
修订后的《中国共产党普通高等学校基层组织工作条例》,,2021年4月16日,其他文献,,
《关于新时代推动中部地区高质量发展的意见》,,2021年4月23日,其他文献,,
《中国共产党组织工作条例》,,2021年5月22日,其他文献,,
《关于“左派国民党”及苏维埃口号问题决议案》,,1927年9月19日,其他文献,,
《陕甘宁边区抗战时期施政纲领》,,1939年,其他文献,林伯渠,
《陕甘宁边区保障人权财权条例》,,1941年11月,其他文献,李鼎铭,
《关于若干历史问题的决议》,,1944年,全会文献,毛泽东,
《论联合政府》,,1945年,党的全国代表大会文献,毛泽东、周恩来、朱德、刘少奇,
《论解放区战场》,,1945年,党的全国代表大会文献,毛泽东、周恩来、朱德、刘少奇,
《关于修改党章的报告》,,1945年,党的全国代表大会文献,毛泽东、周恩来、朱德、刘少奇,
《论统一战线》,,1945年,党的全国代表大会文献,毛泽东、周恩来、朱德、刘少奇,
《中国土地法大纲》,,1947年,其他文献,,
《为争取国家财政经济状况的基本好转而斗争》,,1950年6月,领导人文献,毛泽东,
《关于整顿党的基层组织的决议》,,1951年,其他文献,,
《关于农业生产互助合作的决议（草案）》,,1951年9月,其他文献,,
《关于增强党的团结的决议》,,1954年2月,全会文献,,
《联合声明》,,1954年6月,其他文献,周恩来,和平共处五项原则
《中华人民共和国宪法》,,1954年9月,全国人大文献,毛泽东、刘少奇、周恩来,
《中国人民政治协商会议章程》,,1954年12月,全国政协文献,,
《关于成立党的中央和地方监察委员会的决议》,,1955年3月,党的全国代表大会文献,,
中国文字改革委员会,,1956年2月9日,,,
《农村人民公社工作条例（草案）》（“农业六十条”）,,1961年3月,其他文献,,
《关于保护和改善环境的若干规定（试行草案）》,,1973年8月,其他文献,,
《中国人民政治协商会议章程》,,1978年2月,全国政协文献,,
《1978－1985年全国科学技术发展规划纲要（草案）》,,1978年3月,其他文献,,
《关于修正〈中华人民共和国宪法〉若干规定的决议》,,1979年7月1日,全国人大文献,,
《中华人民共和国刑法》,,1979年7月1日,全国人大文献,,
《中华人民共和国刑事诉讼法》,,1979年7月1日,全国人大文献,,
《中华人民共和国中外合资经营企业法》,,1979年7月1日,全国人大文献,,
《中华人民共和国环境保护法（试行）》,,1979年9月13日,全国人大文献,,
《中华人民共和国环境保护法》,,1989年12月26日,全国人大文献,,
《关于党内政治生活的若干准则》,,1980年2月,全会文献,,
《关于建国以来党的若干历史问题的决议》,,1981年6月,全会文献,,
《全面开创社会主义现代化建设的新局面》,,1982年9月,党的全国代表大会文献,,
《中华人民共和国宪法》,,1982年12月4日,全国人大文献,,
《关于整党的决定》,,1983年10月,全会文献,,
《中华人民共和国民族区域自治法》,,1984年5月31日,全国人大文献,,
《关于修改〈中华人民共和国民族区域自治法〉的决定》,,2001年2月28日,全国人大文献,,
《关于经济体制改革的决定》,,1984年10月20日,全会文献,,
《关于教师节的决定》,,1985年1月21日,全国人大文献,,
《关于向全体公民基本普及法律常识的五年规划》,,1985年6月,其他文献,,
《中华人民共和国民法通则》,,1986年3月,全国人大文献,,
《中华人民共和国义务教育法》,,1986年3月,全国人大文献,,
《中华人民共和国外资企业法》,,1986年3月,全国人大文献,,
《关于社会主义精神文明建设指导方针的决议》,,1986年9月28日,全会文献,,
《沿着有中国特色的社会主义道路前进》,,1987年10月,党的全国代表大会文献,赵紫阳,
《中国共产党章程部分条文修正案》,,1987年10月,党的全国代表大会文献,,
《中华人民共和国村民委员会组织法（试行）》,,1987年11月24日,全国人大文献,,
《中华人民共和国村民委员会组织法》,,1998年10月,全国人大文献,,
《中华人民共和国中外合作经营企业法》,,1988年3月,全国人大文献,杨尚昆、邓小平、李鹏,
《中国人民解放军军官军衔条例》,,1988年7月1日,全国人大文献,,
《中国人民解放军现役军官服役条例》,,1988年9月5日,全国人大文献,,
《中华人民共和国现役军官法》,,2000年12月28日,全国人大文献,,
《关于赵紫阳同志在反党反社会主义的动乱中所犯错误的报告》,,1989年6月,全会文献,,
《关于近期做几件群众关心的事的决定》,,1989年7月,其他文献,,
《关于加强宣传、思想工作的通知》,,1989年7月,其他文献,,
《关于加强党的建设的通知》,,1989年7月,其他文献,,
《关于进一步治理整顿和深化改革的决定》,,1989年11月,全会文献,,
《中华人民共和国城市居民委员会组织法》,,1989年12月26日,全国人大文献,,
《中华人民共和国香港特别行政区基本法》,,1990年3月,全国人大文献,江泽民,
《关于〈中华人民共和国香港特别行政区基本法〉的决定》,,1990年3月,全国人大文献,,
《关于设立香港特别行政区的决定》,,1990年3月,全国人大文献,,
《关于进一步加强农业和农村工作的决定》,,1991年11月,全会文献,,
《中华人民共和国领海及毗连区法》,,1992年2月25日,全国人大文献,,
《加快改革开放和现代化建设步伐，夺取有中国特色社会主义事业的更大胜利》,,1992年10月,党的全国代表大会文献,,
《中国共产党章程（修正案）》,,1992年10月,党的全国代表大会文献,,
《中华人民共和国宪法修正案》,,1993年3月,全国人大文献,江泽民、乔石、李鹏,
《中华人民共和国澳门特别行政区基本法》,,1993年3月,全国人大文献,,
《关于〈中华人民共和国澳门特别行政区基本法〉的决定》,,1993年3月,全国人大文献,,
《关于设立中华人民共和国澳门特别行政区的决定》,,1993年3月,全国人大文献,,
《关于建立社会主义市场经济体制若干问题的决定》,,1993年11月,全会文献,,
《中国人民政治协商会议章程》（修正案）,,1994年3月,全国政协文献,,
《中华人民共和国预算法》,,1994年3月,全国人大文献,,
《中国21世纪议程》,,1994年3月25日,其他文献,,
《中华人民共和国劳动法》,,1994年7月5日,全国人大文献,,
《中华人民共和国教育法》,,1995年3月18日,全国人大文献,,
《关于制定国民经济和社会发展“九五”计划和2010年远景目标的建议》,,1995年9月,全会文献,,
《“九五”期间军队建设计划纲要》,,1995年12月,其他文献,,
《关于加强社会主义精神文明建设若干重要问题的决议》,,1996年10月,全会文献,,
《中华人民共和国国防法》,,1997年3月14日,全国人大文献,,
《国家重点基础研究发展规划》,,1997年6月4日,其他文献,,
《高举邓小平理论伟大旗帜，把建设有中国特色社会主义事业全面推向二十一世纪》,,1997年9月,党的全国代表大会文献,,
《中国共产党章程修正案》,,1997年9月,党的全国代表大会文献,,
《中华人民共和国专属经济区和大陆架法》,,1998年6月26日,全国人大文献,,
《关于农业和农村工作若干重大问题的决定》,,1998年10月,全会文献,,
《关于国有企业改革和发展若干重大问题的决定》,,1999年9月,全会文献,,
《中华人民共和国立法法》,,2000年3月15日,全国人大文献,,
《关于修改〈中华人民共和国立法法〉的决定》,,2015年3月15日,全国人大文献,,
《关于制定国民经济和社会发展第十个五年计划的建议》,,2000年10月,全会文献,,
《关于加强和改进党的作风建设的决定》,,2001年9月,全会文献,,“八个坚持、八个反对”
《全面建设小康社会，开创中国特色社会主义事业新局面》,,2002年11月,党的全国代表大会文献,,
《关于完善社会主义市场经济体制若干问题的决定》,,2003年10月,全会文献,,
《联合国反腐败公约》,,2005年10月27日,全国人大文献,,
《关于加强党的执政能力建设的决定》,,2004年9月,全会文献,胡锦涛,
《反分裂国家法》,,2005年3月,全国人大文献,,
《中华人民共和国公务员法》,,2005年4月27日,全国人大文献,,
《关于制定国民经济和社会发展第十一个五年规划的建议》,,2005年10月,全会文献,,
《关于构建社会主义和谐社会若干重大问题的决定》,,2006年10月,全会文献,,
《中非合作论坛北京峰会宣言》,,2006年11月,其他文献,,
《中非合作论坛－北京行动计划（2007－2009年）》,,2006年11月,其他文献,,
《中华人民共和国物权法》,,2007年3月16日,全国人大文献,,
《中华人民共和国企业所得税法》,,2007年3月16日,全国人大文献,,
《中华人民共和国反垄断法》,,2007年8月30日,全国人大文献,,
《中华人民共和国就业促进法》,,2007年8月30日,全国人大文献,,
《高举中国特色社会主义伟大旗帜，为夺取全面建设小康社会新胜利而奋斗》,,2007年10月,党的全国代表大会文献,,
《中国共产党章程（修正案）》,,2007年10月,党的全国代表大会文献,,
《国务院机构改革方案》,,2008年3月,全国人大文献,胡锦涛、吴邦国、温家宝,
《关于推进农村改革发展若干重大问题的决定》,,2008年10月,全会文献,,
《中华人民共和国食品安全法》,,2009年2月28日,全国人大文献,,
《关于加强和改进新形势下党的建设若干重大问题的决定》,,2009年9月,全会文献,,
《关于修改〈中华人民共和国全国人民代表大会和地方各级人民代表大会选举法〉的决定》,,2010年3月14日,全国人大文献,,
《关于制定国民经济和社会发展第十二个五年规划的建议》,,2010年10月,全会文献,,
《中华人民共和国非物质文化遗产法》,,2011年2月25日,全国人大文献,,
《关于深化文化体制改革推动社会主义文化大发展大繁荣若干重大问题的决定》,,2011年10月,全会文献,,
《坚定不移沿着中国特色社会主义道路前进，为全面建成小康社会而奋斗》,,2012年7月24日,其他文献,,
《中国共产党章程（修正案）》,,2012年7月24日,其他文献,,
《十八届中央政治局关于改进工作作风、密切联系群众的八项规定》,,2012年12月4日,其他文献,,
《国务院机构改革和职能转变方案》,,2013年2月,全会文献,,
《国务院机构改革和职能转变方案》,,2013年3月,全国人大文献,,
《关于全面深化改革若干重大问题的决定》,,2013年11月,全会文献,,
《国家新型城镇化规划（2014－2020年）》,,2013年12月,其他文献,,
《关于确定中国人民抗日战争胜利纪念日的决定》,,2014年2月27日,全国人大文献,,
《关于设立南京大屠杀死难者国家公祭日的决定》,,2014年2月27日,全国人大文献,,
《关于设立烈士纪念日的决定》,,2014年8月31日,全国人大文献,,
《关于全面推进依法治国若干重大问题的决定》,,2014年10月,全会文献,,
《关于设立国家宪法日的决定》,,2014年11月1日,全国人大文献,,
《中华人民共和国国家安全法》,,2015年7月1日,全国人大文献,,
《关于制定国民经济和社会发展第十三个五年规划的建议》,,2015年10月,全会文献,,
《关于深化国防和军队改革的意见》,,2015年11月,其他文献,,
《关于新形势下党内政治生活的若干准则》,,2016年10月,全会文献,,
《中国共产党党内监督条例》,,2016年10月,全会文献,,
《中华人民共和国网络安全法》,,2016年11月7日,全国人大文献,,
《中华人民共和国公共文化服务保障法》,,2016年12月25日,全国人大文献,,
《决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利》,,2017年10月,党的全国代表大会文献,,
《中国共产党章程（修正案）》,,2017年10月,党的全国代表大会文献,,
《国务院关于2017年度国有资产管理情况的综合报告》,,2018年10月,全国人大文献,,
《国务院关于2017年度金融企业国有资产的专项报告》,,2018年10月,全国人大文献,,
《关于修改宪法部分内容的建议》,,2018年1月18日,全会文献,,
《关于深化党和国家机构改革的决定》,,2018年2月26日,全会文献,,
《深化党和国家机构改革方案》,,2018年2月26日,全会文献,,
《中华人民共和国宪法修正案》,,2018年3月5日,全国人大文献,,
《中华人民共和国监察法》,,2018年3月5日,全国人大文献,,
《中华人民共和国英雄烈士保护法》,,2018年4月27日,全国人大文献,,
《关于加快推进生态文明建设的意见》,,2018年5月,其他文献,,
《生态文明体制改革总体方案》,,2018年5月,其他文献,,
《国家应对气候变化规划（2014－2020年）》,,2018年5月,其他文献,,
《巴黎协定》,,2018年5月,其他文献,,
《关于构建更加紧密的中非命运共同体的北京宣言》,,2018年9月,其他文献,,
《中非合作论坛－北京行动计划（2019－2021年）》,,2018年9月,其他文献,,
《为实现民族伟大复兴、推进祖国和平统一而共同奋斗》,,2019年1月2日,领导人文献,,
《中华人民共和国外商投资法》,,2019年3月15日,全国人大文献,,
《共谋绿色生活，共建美丽家园》讲话,,2019年4月28日,领导人文献,,
《深化文明交流互鉴，共建亚洲命运共同体》,,2019年5月,领导人文献,,
《关于坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化若干重大问题的决定》,,2019年10月,全会文献,,
《中华人民共和国民法典》,,2020年5月28日,全国人大文献,,
《关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定》,,2020年5月28日,全国人大文献,,
《中华人民共和国香港特别行政区维护国家安全法》,,2020年6月30日,全国人大文献,,
《关于制定国民经济和社会发展第十四个五年规划和二三五年远景目标的建议》,,2020年10月,全会文献,,
《中华人民共和国长江保护法》,,2020年12月26日,全国人大文献,,
《关于在全党开展党史学习教育的通知》,,,其他文献,,
《论中国共产党历史》,,2021年2月20日,领导人文献,,
《毛泽东邓小平江泽民胡锦涛关于中国共产党历史论述摘编》,,2021年2月20日,领导人文献,,
《习近平新时代中国特色社会主义思想学习问答》,,2021年2月20日,领导人文献,,
《中国共产党简史》,,2021年2月20日,领导人文献,,
《关于修改〈中华人民共和国全国人民代表大会组织法〉的决定》,,2021年3月11日,全国人大文献,,
《关于修改〈中华人民共和国全国人民代表大会议事规则〉的决定》,,2021年3月11日,全国人大文献,,
《关于完善香港特别行政区选举制度的决定》,,2021年3月11日,全国人大文献,,
《中华人民共和国乡村振兴促进法》,,2021年4月29日,全国人大文献,,
